ID,Temperature,Treatment,Clone,Experiment,Growth2,maxInduction,Growth1
D1045_24_C1_A,24,Control,D10_45,Acclim,0.250949149,10,0.30687191
D1045_24_C2_A,24,Control,D10_45,Acclim,0.231956538,10,0.264748136
C14_24_P1_A,24,Predator,C14,Acclim,NA,60,NA
C14_24_P3_A,24,Predator,C14,Acclim,0.133596964,60,0.164394906
C14_24_P3_A,24,Predator,C14,Acclim,0.133596964,60,0.164394906
Cyril_24_P1,24,Predator,Cyril,Acute,0.199499827,10,0.253939284
Cyril_24_P2,24,Predator,Cyril,Acute,0.205495013,20,0.254787029
Cyril_24_P3,24,Predator,Cyril,Acute,0.199549561,0,0.256265394
LD33_24_C1_A,24,Control,LD33,Acclim,0.119842834,50,0.1545972
LD33_24_C1_A,24,Control,LD33,Acclim,0.119842834,50,0.1545972
D10_A14_28_P1,28,Predator,D10_A14,Acute,NA,10,NA
D10_A14_28_P2,28,Predator,D10_A14,Acute,NA,10,NA
D10_A14_28_P3,28,Predator,D10_A14,Acute,NA,10,NA
Cyril_28_C1,28,Control,Cyril,Acute,0.174059116,0,0.240269761
Cyril_28_C2,28,Control,Cyril,Acute,0.176918056,0,0.251610457
Cyril_28_P1,28,Predator,Cyril,Acute,0.116385574,0,0.240666723
Cyril_28_P2,28,Predator,Cyril,Acute,0.119676519,0,0.245553745
Cyril_28_P3,28,Predator,Cyril,Acute,0.111851812,0,0.241173732
Cyril_28_C1_A,28,Control,Cyril,Acclim,0.167799849,0,0.2241115
Cyril_28_C2_A,28,Control,Cyril,Acclim,0.163777452,0,0.22674399
Cyril_28_C3_A,28,Control,Cyril,Acclim,0.163760295,0,0.237270139
Cyril_20_P3,20,Predator,Cyril,Acute,0.165304423,10,0.214746539
D10A13_20_P1,20,Predator,D10_A13,Acute,0.099429104,60,0.144103109
D10A13_20_C2_A,20,Control,D10_A13,Acclim,0.162918453,20,0.212441469
D1081_20_C3_A,20,Control,D10_81,Acclim,0.151316347,0,0.210836753
D10A14_20_C1_A,20,Control,D10_A14,Acclim,0.138629436,0,0.194592924
D10A14_20_C2_A,20,Control,D10_A14,Acclim,0.14144859,0,0.194891193
D10A14_20_C3_A,20,Control,D10_A14,Acclim,0.144159742,0,0.203993832
D10A13_20_P1_A,20,Predator,D10_A13,Acclim,NA,30,0.21992316
D10A13_20_P2_A,20,Predator,D10_A13,Acclim,NA,50,0.203456409
D10A13_20_P3_A,20,Predator,D10_A13,Acclim,NA,40,0.211581799
AD10_1_24_C1,24,Control,AD10_1,Acute,0.138684139,20,0.196011592
AD10_1_24_C2,24,Control,AD10_1,Acute,0.141864884,10,0.195579044
D1045_24_C2,24,Control,D10_45,Acute,0.162254873,10,0.204193388
D1045_24_C3,24,Control,D10_45,Acute,0.161048354,10,0.206993977
D1045_24_P1,24,Predator,D10_45,Acute,0.172000512,10,0.221134038
D1045_24_P2,24,Predator,D10_45,Acute,0.175298058,10,0.223931487
D1045_24_P3,24,Predator,D10_45,Acute,0.169795662,10,0.220652135
D87A_24_C1,24,Control,D87_A,Acute,0.154425289,10,0.193361178
D87A_24_C3,24,Control,D87_A,Acute,0.144560508,0,0.18168747
D87A_24_P1,24,Predator,D87_A,Acute,0.145771951,0,0.195578746
D87A_24_P2,24,Predator,D87_A,Acute,0.143510102,NA,0.192455855
D87A_24_P3,24,Predator,D87_A,Acute,0.137141517,10,0.184889769
LD33_24_C1,24,Control,LD33,Acute,0.134329443,20,0.189417971
LD33_24_C2,24,Control,LD33,Acute,0.13791006,10,0.2026513
LD33_24_C3,24,Control,LD33,Acute,0.140434251,30,0.1992916
C14_24_C2,24,Control,C14,Acute,0.095590675,20,0.18874287
AD10_1_24_C1_A,24,Control,AD10_1,Acclim,0.118164314,0,NA
AD10_1_24_C2_A,24,Control,AD10_1,Acclim,0.124423576,0,NA
AD10_1_24_C3_A,24,Control,AD10_1,Acclim,0.137116733,0,NA
D10_A14_24_P1_A,24,Predator,D10_A14,Acclim,0.084103159,0,0.14296009
Cyril_24_C1,24,Control,Cyril,Acute,0.149030393,0,0.202263884
Cyril_24_C2,24,Control,Cyril,Acute,0.154032426,0,0.19997549
Cyril_24_C3,24,Control,Cyril,Acute,0.155110791,0,0.206586136
Cyril_24_C1_A,24,Control,Cyril,Acclim,0.12973318,0,0.17178121
Cyril_24_C2_A,24,Control,Cyril,Acclim,0.123446773,0,0.162632971
Cyril_24_C3_A,24,Control,Cyril,Acclim,0.137180632,0,0.186994079
Cyril_24_P1_A,24,Predator,Cyril,Acclim,0.15571545,10,0.194667075
Cyril_24_P2_A,24,Predator,Cyril,Acclim,0.164285476,10,0.19897002
Cyril_24_P3_A,24,Predator,Cyril,Acclim,0.161182529,10,0.196210568
AD101_24_P3_A,24,Predator,AD10_1,Acclim,0.155590891,0,0.198771751
D1081_24_C1,24,Control,D10_81,Acute,0.086733683,10,0.200062822
D1081_24_C2,24,Control,D10_81,Acute,0.134152364,10,0.230126217
D1081_24_C3,24,Control,D10_81,Acute,0.120958117,0,0.231362106
D87A_24_C2_A2,24,Control,D87_A,Acclim,0.142419821,0,0.173249957
D87A_24_C3_A2,24,Control,D87_A,Acclim,0.146478626,10,0.173410003
D86A_24_P3,24,Predator,D86_A,Acute,NA,0,0.14223905
C14_24_C1_A,24,Control,C14,Acclim,0.092043125,NA,0.238981312
C14_24_C2_A,24,Control,C14,Acclim,0.216435874,NA,0.231500276
