ID,Temperature,Treatment,Clone,Experiment,Growth0,Growth1,Growth2,maxInduction
LD33_12_C1,13,Control,LD33,Acute,0.056207144,0.083607808,0.080160654,20
LD33_12_C2,13,Control,LD33,Acute,0.055799077,0.081079917,0.080438243,60
LD33_12_C3,13,Control,LD33,Acute,0.057363551,0.082793016,0.081732333,60
LD33_12_P1,13,Predator,LD33,Acute,0.049619677,0.07505458,0.074725381,100
LD33_12_P2,13,Predator,LD33,Acute,0.048456951,0.075488948,0.073925847,70
LD33_12_P3,13,Predator,LD33,Acute,0.051935045,0.081260708,0.079548989,100
D87A_12_C1,13,Control,D87_A,Acute,0.039355793,0.063681122,0.063229371,0
D87A_12_C3,13,Control,D87_A,Acute,0.045257082,0.066197718,0.067857585,0
D1045_12_C2,13,Control,D10_45,Acute,0.042385186,0.068406176,0.070317046,50
D1045_12_C3,13,Control,D10_45,Acute,0.041403555,0.066756805,0.067979154,10
D1045_12_P1,13,Predator,D10_45,Acute,0.045810335,0.075991657,0.076700617,10
D1045_12_P3,13,Predator,D10_45,Acute,0.050777487,0.077775013,0.080384986,40
D1045_12_P2,13,Predator,D10_45,Acute,0.048406552,0.073540442,0.074843444,40
D87A_12_C2,13,Control,D87_A,Acute,0.036944653,0.05891421,0.062374692,0
D1045_12_C1,13,Control,D10_45,Acute,0.034223141,0.058343885,0.061024551,10
D87A_12_P3,13,Predator,D87_A,Acute,0.031146756,0.049339552,0.050644596,30
D87A_12_P1,13,Predator,D87_A,Acute,0.02566574,0.042484606,0.04532152,30
D87A_12_P2,13,Predator,D87_A,Acute,0.022521924,0.035299732,0.037245207,40
D1081_12_C3,13,Control,D10_81,Acute,0.05854154,0.090061959,0.088531896,10
D1081_12_C1,13,Control,D10_81,Acute,0.059085044,0.088927089,0.086576204,10
D1081_12_C2,13,Control,D10_81,Acute,0.060104051,0.087132889,0.085421672,10
D10A13_12_C1,13,Control,D10_A13,Acute,NA,NA,NA,10
D10A13_12_C3,13,Control,D10_A13,Acute,NA,NA,NA,10
AD101_12_C1,13,Control,AD10_1,Acute,0.055368393,0.090665769,0.066169328,0
D1081_12_P1,13,Predator,D10_81,Acute,0.050819867,0.085892938,0.089728951,20
Cyril_12_C1,13,Control,Cyril,Acute,0.034546559,0.066955426,0.06893577,0
Cyril_12_C2,13,Control,Cyril,Acute,0.037231485,0.068671813,0.069100539,0
AD101_12_C2,13,Control,AD10_1,Acute,0.040541711,0.074802426,0.050900695,0
AD101_12_C3,13,Control,AD10_1,Acute,0.042459372,0.073891983,0.051509204,10
Cyril_12_P3,13,Predator,Cyril,Acute,0.048477491,0.076243534,0.060484282,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.048477491,0.076243534,0.060484282,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.048477491,0.076243534,0.060484282,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.048477491,0.076243534,0.060484282,40
D86A_12_C1,13,Control,D86_A,Acute,0.05724316,0.103985389,0.10505582,0
D86A_12_C2,13,Control,D86_A,Acute,0.045580106,0.09541478,0.097161558,10
D86A_12_C3,13,Control,D86_A,Acute,0.0512888,0.098947768,0.100496512,10
C14_12_P1,13,Predator,C14,Acute,0.048107964,0.082317642,0.081719946,70
C14_12_C1,13,Control,C14,Acute,0.045676784,0.083783855,0.064794548,30
D10A14_12_C2,13,Control,D10_A14,Acute,0.051029873,0.091601428,0.084499812,10
D10A14_12_C3,13,Control,D10_A14,Acute,0.051958578,0.097043761,0.089320423,10
Cyril_12_P1,13,Predator,Cyril,Acute,0.033988342,0.067050809,0.052108923,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.043834667,0.076243534,0.060484282,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.043834667,0.076243534,0.060484282,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.043834667,0.076243534,0.060484282,40
