ID,Treatment,Temperature,Clone,Experiment,maxInduction,Growth1,Growth2
AD10_1_16_C1,Control,16,AD10_1,Acute,10,0.128447927,0.129626679
AD10_1_16_C2,Control,16,AD10_1,Acute,10,0.12275311,0.123852662
AD10_1_16_C3,Control,16,AD10_1,Acute,10,0.124557961,0.127212056
AD10_1_16_P1,Predator,16,AD10_1,Acute,50,0.098209703,0.100351372
AD10_1_16_P2,Predator,16,AD10_1,Acute,50,NA,NA
AD10_1_16_P3,Predator,16,AD10_1,Acute,10,0.09598178,0.096992815
AD10_1_20_C1,Control,20,AD10_1,Acute,10,0.113751388,0.121185066
AD10_1_20_C2,Control,20,AD10_1,Acute,10,0.109792666,0.128812599
AD10_1_20_C3,Control,20,AD10_1,Acute,10,0.115634932,0.12374714
AD10_1_20_P1,Predator,20,AD10_1,Acute,50,0.122353996,0.096576609
AD10_1_20_P2,Predator,20,AD10_1,Acute,50,0.112796693,0.091435369
AD10_1_20_P3,Predator,20,AD10_1,Acute,50,0.118943337,0.095111884
AD10_1_24_C1,Control,24,AD10_1,Acute,20,0.196011592,0.138684139
AD10_1_24_C1_A,Control,24,AD10_1,Acclim,0,NA,0.118164314
AD10_1_24_C2,Control,24,AD10_1,Acute,10,0.195579044,0.141864884
AD10_1_24_C2_A,Control,24,AD10_1,Acclim,0,NA,0.124423576
AD10_1_24_C3,Control,24,AD10_1,Acute,10,NA,NA
AD10_1_24_C3_A,Control,24,AD10_1,Acclim,0,NA,0.137116733
AD10_1_24_P1,Predator,24,AD10_1,Acute,NA,0.176405946,0.131859563
AD10_1_24_P1_A,Predator,24,AD10_1,Acclim,0,NA,NA
AD10_1_24_P2,Predator,24,AD10_1,Acute,NA,0.132970142,0.097675527
AD10_1_24_P3,Predator,24,AD10_1,Acute,NA,0.120378514,0.089137712
AD10_1_28_C1,Control,28,AD10_1,Acute,10,NA,NA
AD10_1_28_C1_A,Control,28,AD10_1,Acclim,0,0.134805228,0.098304845
AD10_1_28_C2,Control,28,AD10_1,Acute,10,0.09687243,0.113588478
AD10_1_28_C2_A,Control,28,AD10_1,Acclim,0,0.09898374,0.077122426
AD10_1_28_C3,Control,28,AD10_1,Acute,10,NA,NA
AD10_1_28_C3_A,Control,28,AD10_1,Acclim,0,0.158553304,0.116918882
AD10_1_28_P1,Predator,28,AD10_1,Acute,20,NA,NA
AD10_1_28_P1_A,Predator,28,AD10_1,Acclim,10,NA,NA
AD10_1_28_P2,Predator,28,AD10_1,Acute,20,0.152219715,0.089889819
AD10_1_28_P2_A,Predator,28,AD10_1,Acclim,10,0.201796874,0.058827575
AD10_1_28_P3,Predator,28,AD10_1,Acute,20,0.133827086,0.122919406
AD10_1_28_P3_A,Predator,28,AD10_1,Acclim,0,0.163438575,0.139184564
