Clone,Temperature,Treatment,Experiment,Stage,Survival,Mean.Rep
D10_45,13,Control,Acute,B0,1,NA
D10_45,13,Control,Acute,B1,1,9
D10_45,13,Control,Acute,B2,1,8.67
D10_45,13,Predator,Acute,B0,1,NA
D10_45,13,Predator,Acute,B1,1,10
D10_45,13,Predator,Acute,B2,0.33,20
D10_45,13,Control,Acclim,B0,1,NA
D10_45,13,Control,Acclim,B1,1,10.67
D10_45,13,Control,Acclim,B2,0.67,10.5
D10_45,13,Predator,Acclim,B0,1,NA
D10_45,13,Predator,Acclim,B1,1,6.33
D10_45,13,Predator,Acclim,B2,0,NA
D10_45,13,Predator,Acclim,B3,0,NA
D87_A,13,Control,Acute,B0,1,NA
D87_A,13,Control,Acute,B1,1,3.5
D87_A,13,Control,Acute,B2,1,7.67
D87_A,13,Predator,Acute,B0,1,NA
D87_A,13,Predator,Acute,B1,0.67,6.5
D87_A,13,Predator,Acute,B2,0.67,7.5
D87_A,13,Control,Acclim,B0,1,NA
D87_A,13,Control,Acclim,B1,0,NA
D87_A,13,Control,Acclim,B2,0,NA
D87_A,13,Control,Acclim,B3,0,NA
D87_A,13,Predator,Acclim,B0,1,NA
D87_A,13,Predator,Acclim,B1,1,4.67
D87_A,13,Predator,Acclim,B2,1,6.33
D87_A,13,Predator,Acclim,B3,1,7.67
LD33,13,Control,Acute,B0,1,NA
LD33,13,Control,Acute,B1,1,6
LD33,13,Control,Acute,B2,1,11.67
LD33,13,Predator,Acute,B0,1,NA
LD33,13,Predator,Acute,B1,1,6.67
LD33,13,Predator,Acute,B2,1,15.33
LD33,13,Control,Acclim,B0,1,NA
LD33,13,Control,Acclim,B1,1,3
LD33,13,Control,Acclim,B2,0,NA
LD33,13,Control,Acclim,B3,0,NA
LD33,13,Predator,Acclim,B0,0,NA
LD33,13,Predator,Acclim,B1,0,NA
LD33,13,Predator,Acclim,B2,0,NA
LD33,13,Predator,Acclim,B3,0,NA
D10_81,13,Control,Acute,B0,1,NA
D10_81,13,Control,Acute,B1,1,6.67
D10_81,13,Control,Acute,B2,0.67,11.5
D10_81,13,Predator,Acute,B0,1,NA
D10_81,13,Predator,Acute,B1,0.5,12
D10_81,13,Predator,Acute,B2,0.5,15
D10_81,13,Control,Acclim,B0,1,NA
D10_81,13,Control,Acclim,B1,1,5.5
D10_81,13,Control,Acclim,B2,1,8.5
D10_81,13,Control,Acclim,B3,NA,NA
D10_81,13,Predator,Acclim,B0,1,NA
D10_81,13,Predator,Acclim,B1,1,6.67
D10_81,13,Predator,Acclim,B2,0.67,8
D10_81,13,Predator,Acclim,B3,0.67,2.5
AD10_1,13,Control,Acute,B0,1,NA
AD10_1,13,Control,Acute,B1,0,NA
AD10_1,13,Control,Acute,B2,0,NA
AD10_1,13,Predator,Acute,B0,1,NA
AD10_1,13,Predator,Acute,B1,1,10.67
AD10_1,13,Predator,Acute,B2,0,NA
AD10_1,13,Control,Acclim,B0,0,NA
AD10_1,13,Control,Acclim,B1,0,NA
AD10_1,13,Control,Acclim,B2,0,NA
AD10_1,13,Control,Acclim,B3,0,NA
AD10_1,13,Predator,Acclim,B0,1,NA
AD10_1,13,Predator,Acclim,B1,1,6.5
AD10_1,13,Predator,Acclim,B2,1,5
AD10_1,13,Predator,Acclim,B3,NA,NA
Cyril,13,Control,Acute,B0,1,NA
Cyril,13,Control,Acute,B1,1,18.5
Cyril,13,Control,Acute,B2,NA,NA
Cyril,13,Predator,Acute,B0,1,NA
Cyril,13,Predator,Acute,B1,0.67,14
Cyril,13,Predator,Acute,B2,0.67,18
Cyril,13,Control,Acclim,B0,1,NA
