Clone,Temperature,Experiment,Treatment,Ro.B3,Ro.B2,Ro.B1,MeanSGrowth,seSGrowth,meanMaxInd,seMaxInd
AD10_1,13,Acute,Control,0,0,0,0.079786726,0.005445867,3.333333333,3.333333333
AD10_1,13,Acute,Predator,10.67,10.67,10.67,0.081786793,0.002360156,16.66666667,3.333333333
AD10_1,16,Acclim,Control,7.655,6.335,4.355,0.100102381,NA,25,5
AD10_1,16,Acclim,Predator,10.7,10.04,9.38,0.131961088,NA,30,5.773502692
AD10_1,16,Acute,Control,15.67,15.67,2,0.125252999,0.001680282,10,0
AD10_1,16,Acute,Predator,7.985,7.985,4.355,0.097095741,0.001113961,36.66666667,13.33333333
AD10_1,20,Acclim,Control,13.37,11.39,5.695,0.1443113,0.010070784,13.33333333,3.333333333
AD10_1,20,Acclim,Predator,48.67,27.67,10,0.143498724,0.001055334,56.66666667,12.01850425
AD10_1,20,Acute,Control,11.35,11.35,7.33,0.113059662,0.001721616,10,0
AD10_1,20,Acute,Predator,22,22,6.67,0.118031342,0.002796385,50,0
AD10_1,24,Acclim,Control,16.33,16.33,6,NA,NA,0,0
AD10_1,24,Acclim,Predator,24.075,10.34,6.67,0.197902143,0.000510973,2.5,2.5
AD10_1,24,Acute,Control,10.355,10.355,6,0.195795318,0.000216274,13.33333333,3.333333333
AD10_1,24,Acute,Predator,7,7,2.67,0.143251534,0.01697104,NA,NA
AD10_1,28,Acclim,Control,11.715,7.025,2.67,0.130780757,0.017313584,0,0
AD10_1,28,Acclim,Predator,8.04,4.355,0.67,0.176870588,0.008940725,8.333333333,1.666666667
AD10_1,28,Acute,Control,2.31,2.31,1.32,0.09687243,NA,10,0
AD10_1,28,Acute,Predator,7.33,7.33,3.33,0.1430234,0.009196314,20,0
C14,13,Acclim,Control,14,8.33,3.33,0.052173928,0.004929014,40,5.773502692
C14,13,Acclim,Predator,6.4189,5.0989,2.4589,0.069321089,0.001837936,100,0
C14,13,Acute,Control,11.66,11.66,3.33,0.077366076,0.00411294,26.66666667,3.333333333
C14,13,Acute,Predator,23.33,23.33,10,0.074821809,0.00440121,83.33333333,6.666666667
C14,16,Acclim,Control,25.025,19.33,8,0.097633486,NA,26.66666667,3.333333333
C14,16,Acclim,Predator,26.465,16.75,7.37,0.130803372,0.008677665,83.33333333,8.819171037
C14,16,Acute,Control,5,5,4.67,0.097024622,0.004187116,30,10
C14,16,Acute,Predator,6.67,6.67,6.67,0.113127179,0.002634825,70,5.773502692
C14,20,Acclim,Control,23.04,15.67,7.67,0.173572376,0.001040171,30,0
C14,20,Acclim,Predator,23.45,17.755,9.38,0.148681468,1.44E-05,66.66666667,3.333333333
C14,20,Acute,Control,9.71,9.71,9.38,0.147185018,NA,20,0
C14,20,Acute,Predator,17.66,17.66,6.33,0.157482359,0.010797052,63.33333333,3.333333333
C14,24,Acclim,Control,23.6711,16.75,6.03,0.224319633,0.011132635,40,0
C14,24,Acclim,Predator,3.1825,3.1825,3.1825,0.164394906,0,60,0
