ID,Temperature,Treatment,Clone,Experiment,Growth,maxInduction
D1045_24_C1_A,24,Control,D10_45,Acclim,0.30687191,10
D1045_24_C2_A,24,Control,D10_45,Acclim,0.264748136,10
C14_24_P1_A,24,Predator,C14,Acclim,NA,60
C14_24_P3_A,24,Predator,C14,Acclim,0.164394906,60
Cyril_24_P1,24,Predator,Cyril,Acute,0.253939284,10
Cyril_24_P2,24,Predator,Cyril,Acute,0.254787029,20
Cyril_24_P3,24,Predator,Cyril,Acute,0.256265394,0
LD33_24_C1_A,24,Control,LD33,Acclim,0.1545972,50
D10_A14_28_P1,28,Predator,D10_A14,Acute,NA,10
D10_A14_28_P2,28,Predator,D10_A14,Acute,NA,10
D10_A14_28_P3,28,Predator,D10_A14,Acute,NA,10
Cyril_28_C1,28,Control,Cyril,Acute,0.240269761,0
Cyril_28_C2,28,Control,Cyril,Acute,0.251610457,0
Cyril_28_P1,28,Predator,Cyril,Acute,0.240666723,0
Cyril_28_P2,28,Predator,Cyril,Acute,0.245553745,0
Cyril_28_P3,28,Predator,Cyril,Acute,0.241173732,0
Cyril_28_C1_A,28,Control,Cyril,Acclim,0.2241115,0
Cyril_28_C2_A,28,Control,Cyril,Acclim,0.22674399,0
Cyril_28_C3_A,28,Control,Cyril,Acclim,0.237270139,0
Cyril_20_P3,20,Predator,Cyril,Acute,0.214746539,10
D10A13_20_P1,20,Predator,D10_A13,Acute,0.144103109,60
D10A13_20_C2_A,20,Control,D10_A13,Acclim,0.212441469,20
D1081_20_C3_A,20,Control,D10_81,Acclim,0.210836753,0
D10A14_20_C1_A,20,Control,D10_A14,Acclim,0.194592924,0
D10A14_20_C2_A,20,Control,D10_A14,Acclim,0.194891193,0
D10A14_20_C3_A,20,Control,D10_A14,Acclim,0.203993832,0
D10A13_20_P1_A,20,Predator,D10_A13,Acclim,0.21992316,30
D10A13_20_P2_A,20,Predator,D10_A13,Acclim,0.203456409,50
D10A13_20_P3_A,20,Predator,D10_A13,Acclim,0.211581799,40
AD10_1_24_C1,24,Control,AD10_1,Acute,0.196011592,20
AD10_1_24_C2,24,Control,AD10_1,Acute,0.195579044,10
D1045_24_C2,24,Control,D10_45,Acute,0.204193388,10
